key,value
0,復興崗校區
1, 輔仁聖博敏神學院
2, 崇右影藝科技大學
3, 健行科技大學
4, 國立臺北科技大學
5, 國立臺北教育大學
6, 天主教臺灣總修院
7, 法鼓文理學院
8, 醫學院
9, 國立陽明大學
10, 聖德基督學院
11, 南亞技術學院
12, 銘傳大學
13, 蘭陽技術學院
14, 法鼓山僧伽大學
15, 長庚大學
16, 致理科技大學
17, 龍華科技大學
18, 陸軍化生放核訓練中心
19, 國立臺灣戲曲學院
20, 景文科技大學
21, 臺北基督學院
22, 國立臺北護理健康大學
23, 馬偕醫護管理專科學校
24, 國立臺灣大學
25, 國立臺灣海洋大學
26, 中華福音神學院
27, 德霖科技大學
28, 陸軍通信電子資訊訓練中心
29, 國防醫學院
30, 耕莘健康管理專科學校
31, 國立中央大學
32, 醒吾科技大學
33, 華夏科技大學
34, 佛光大學
35, 台北海洋科技大學
36, 經國管理暨健康學院
37, 淡江大學
38, 國立臺北藝術大學
39, 中原大學
40, 靈糧教牧宣教神學院
41, 國立臺北大學
42, 國立臺北商業大學
43, 長庚科技大學
44, 圓光佛學院
45, 亞東技術學院
46, 國立臺灣藝術大學
47, 真理大學
48, 東南科技大學
49, 輔仁大學
50, 元智大學
51, 國立宜蘭大學
52, 開南大學
53, 臺北市立大學
54, 聖約翰科技大學
55, 國立臺灣科技大學
56, 萬能科技大學
57, 新生醫護管理專科學校
58, 中央警察大學
59, 臺灣警察專科學校
60, 國立政治大學
61, 陸軍專科學校
62, 國立體育大學
63, 國防大學
64, 華梵大學
65, 國立空中大學
66, 黎明技術學院
67, 陸軍後勤訓練中心
68, 基督教拓荒宣教神學院
69, 馬偕醫學院
70, 明志科技大學
71, 國立臺灣師範大學
72,高鐵桃園站
73, 體育大學
74, 坑口
75, 橫山
76, 泰山
77, 新北產業園區
78, 泰山貴和
79, 興南
80, 領航
81, 機場第二航廈
82, 新莊副都心
83, 機場旅館
84, 桃園體育園區
85, 長庚醫院
86, 林口
87, 山鼻
88, 機場第一航廈
89, 三重
90, 環北
91, 大園
92,圓山
93, 淡水
94, 台電大樓
95, 新莊
96, 小南門
97, 小碧潭
98, 蘆洲
99, 麟光
100, 景安
101, 忠孝敦化
102, 萬芳社區
103, 新北投
104, 西門
105, 萬隆
106, 關渡
107, 國父紀念館
108, 松江南京
109, 忠義
110, 紅樹林
111, 行天宮
112, 永寧
113, 永安市場
114, 忠孝復興
115, 中正紀念堂
116, 府中
117, 六張犁
118, 東湖
119, 辛亥
120, 復興崗
121, 中山國小
122, 頂埔
123, 大坪林
124, 善導寺
125, 萬芳醫院
126, 三重國小
127, 木柵
128, 徐匯中學
129, 蘆洲線
130, 大安森林公園
131, 南港軟體園區
132, 忠孝新生
133, 市政府
134, 信義安和
135, 芝山
136, 中山
137, 港墘
138, 龍山寺
139, 雙連
140, 東門
141, 新店區公所
142, 西湖
143, 台大醫院
144, 奇岩
145, 北投
146, 三民高中
147, 新店
148, 公館
149, 大直
150, 唭哩岸
151, 景美
152, 台北101/世貿
153, 大湖公園
154, 南京三民
155, 海山
156, 昆陽
157, 文德
158, 南京復興
159, 科技大樓
160, 臺北市
161, 七張
162, 南港
163, 葫洲
164, 石牌
165, 民權西路
166, 松山機場
167, 竹圍
168, 動物園
169, 北門
170, 台北小巨蛋
171, 新埔
172, 新莊線
173, 明德
174, 內湖
175, 台北車站
176, 松山
177, 永春
178, 大安
179, 劍潭
180, 中山國中
181, 土城
182, 江子翠
183, 象山
184, 亞東醫院
185, 後山埤
186, 板橋
187, 古亭
188, 南港展覽館
189, 頂溪
190, 三和國中
191, 南勢角
192, 劍南路
193, 士林
194,廣州街觀光夜市
195, 平溪老街
196, 關渡自然公園
197, 錦町日式宿舍群
198, 梧州街觀光夜市
199, 臺北戲棚 TaipeiEYE
200, 台北探索館
201, 國立臺灣博物館
202, 南港山系_虎山親山步道
203, 野柳風景區
204, 聖家堂
205, 陽明山光復樓
206, 國立台灣博物館-南門園區
207, 林安泰古厝民俗文物館
208, 站前地下街
209, 台北地下街
210, 財團法人台北市關渡宮
211, 和平西路3段-鳥店街
212, 新莊廟街
213, 國立故宮博物院
214, 大佳碼頭-圓山仔
215, 天母白屋
216, 北投普濟寺
217, 花博公園
218, 大湖公園
219, 臺北松山機場觀景台
220, 紫藤咖啡園
221, 十三行博物館
222, 科幻巨石陣 Stonehenge
223, 八里渡船頭老街
224, 看到藝術
225, 臨濟護國禪寺
226, 福隆海水浴場
227, 大屯山系-軍艦岩親山步道
228, 幾米月亮公車
229, 大稻埕慈聖宮
230, 碧砂漁港
231, 雙溪生活水岸自行車道
232, 照明淨寺-情人廟
233, 文山教會
234, 南港茶葉製造示範場
235, 彩虹橋
236, 國史館
237, 七星山系-坪頂古圳親山步道
238, 西園路-佛具街
239, 臺灣新文化運動紀念館
240, 錫口
241, 三腳渡擺渡口
242, 和平島
243, 通化公園
244, 陽明山中山樓
245, 河流彎曲之處，域見繁花光穹
246, 糖廍文化園區
247, 五指山系_金面山親山步道
248, 士東市場
249, 臺北藝術大學
250, 碧山露營場
251, 北投焚化廠觀景台
252, 迪化街店屋
253, 濱江蔬果_魚市場
254, 臺北傳奇
255, 行天宮北投分宮-忠義廟
256, 郭木生文教基金會美術中心
257, 榮星花園公園
258, 景美集應廟
259, 菁礐古圳
260, 烏來老街
261, 花卉試驗中心
262, 大屯山系-中正山親山步道
263, 二二八和平公園
264, 臺北市立美術館
265, 貓空纜車
266, 圓山水神社
267, 松山文創園區
268, 大龍街夜市
269, 文水藝文中心
270, 三峽染工坊
271, 郵政博物館
272, 彩虹河濱公園
273, 迪化街年貨大街
274, 臺大法學院
275, 臺北市交通資訊中心
276, 社子島島頭公園
277, 蔡瑞月舞蹈研究社
278, 撫臺街洋樓
279, 中研院歷史文物陳列館
280, 萬慶巖清水祖師廟
281, 臺北市立動物園
282, 陽明山美軍俱樂部
283, 淡水馬偕墓園
284, 臺北市客家文化主題公園
285, 水湳洞遊客中心及展演藝廊
286, 成功高中 蝴蝶宮‧昆蟲科學博物館
287, 內湖復育園區
288, 美堤碼頭
289, 烏來溫泉
290, 樹火紀念紙博物館
291, 士林神農宮
292, 鶯歌陶瓷老街
293, 市長官邸藝文沙龍
294, 西昌街-青草巷
295, 順天外科醫院
296, 西昌街觀光夜市
297, 士林官邸
298, 新北投善光寺
299, 博愛路
300, 山水綠生態公園
301, 臺北北門郵局
302, 捷運中山站街區
303, 南港山系_象山親山步道
304, 美麗華百樂園
305, 臺北市立兒童新樂園
306, 碧湖公園
307, 晴光市場
308, 西門町
309, 福州山公園
310, 中華文化總會
311, 臺北監獄圍牆遺蹟
312, 洲美蜆仔港公園
313, 左岸公園
314, 北投圖書館
315, 自來水博物館
316, 臺北天后宮
317, 夢幻湖
318, 清水巖祖師廟
319, 寧夏觀光夜市
320, 七星山系-天母古道親山步道
321, 臺北小巨蛋
322, 中山北路條通商圈
323, 富民生態公園
324, 總統府
325, 福林公園
326, 五分埔-成衣街
327, 三峽清水祖師廟
328, 北投文物館
329, 擎天崗草原
330, 南港山系-南港山縱走親山步道
331, 大院子
332, 台灣基督長老教會大稻埕教會
333, 義芳居古厝
334, 草嶺古道
335, 內溝溪生態展示館
336, 社子島環島與二重疏洪道自行車道
337, 南門町三二三
338, 陽明公園
339, 台新金控大樓
340, 大稻埕碼頭
341, 復興三路櫻花隧道
342, 光華玉市
343, 國立臺北教育大學
344, 文昌宮
345, 臺北植物園
346, 順益臺灣原住民博物館
347, 興隆公園
348, 桃源谷
349, 草山行館
350, 松山慈惠堂
351, 大屯山系-忠義山親山步道
352, 陽明山溫泉區
353, 大稻埕戲苑
354, 臺北典藏植物園
355, 菁桐老街
356, 圓山飯店
357, 糶米古道
358, 南港公園
359, 北投公園
360, 劍潭古寺
361, 淡水老街
362, 郭元益糕餅博物館
363, 地熱谷
364, 天恩宮
365, 松山奉天宮
366, 景福宮
367, 梅庭
368, 蔣渭水紀念公園
369, 建成圓環
370, 誠品畫廊
371, 關渡碼頭-甘豆門
