spot,公園,博物館,校園,露營,遊樂園,園區,親子,廟宇,老街,歷史,藝術,觀光工廠,景觀,溫泉,農場,餐廳,美食,夜景,夜市,咖啡廳,展覽,車站,花海,拍照,步道,自然,寵物,異國,情侶
國立臺北大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立臺灣師範大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
國立臺灣藝術大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
輔仁大學,0.1,0,0.1,0,0,0,0.3,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0
淡江大學,0.038095238,0.057142857,0.038095238,0.00952381,0.00952381,0,0.076190476,0.038095238,0.066666667,0.066666667,0.057142857,0,0.057142857,0.038095238,0,0.057142857,0.057142857,0.019047619,0.019047619,0.047619048,0.019047619,0.038095238,0.047619048,0.028571429,0.019047619,0.066666667,0,0.019047619,0.00952381
真理大學,0.034482759,0.045977011,0.034482759,0.011494253,0,0.011494253,0.068965517,0.034482759,0.091954023,0.137931034,0.057471264,0,0.045977011,0.022988506,0,0.08045977,0.045977011,0.011494253,0,0.011494253,0,0.045977011,0.045977011,0.045977011,0,0.034482759,0,0.057471264,0.022988506
華梵大學,0.071428571,0,0.142857143,0,0.071428571,0,0,0.071428571,0.071428571,0.071428571,0,0,0.142857143,0,0,0,0,0,0,0,0,0.071428571,0,0,0.214285714,0.071428571,0,0,0
法鼓文理學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
明志科技大學,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
聖約翰科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
東南科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
醒吾科技大學,0,0,0,0,0,0,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0,0,0,0.111111111,0.111111111,0,0,0,0,0.111111111,0,0,0,0,0,0.111111111,0
致理科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
景文科技大學,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
華夏科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
德霖科技大學,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0
亞東技術學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黎明技術學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台北海洋科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬偕醫學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
耕莘健康管理專科學校,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬偕醫護管理專科學校,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺北基督學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
輔仁聖博敏神學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
靈糧教牧宣教神學院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天主教臺灣總修院,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法鼓山僧伽大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立空中大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立中央大學,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0
國立體育大學,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0
國立臺灣海洋大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中原大學,0,0,0.05,0,0,0,0.1,0,0,0,0,0.05,0.05,0.05,0,0.05,0.15,0,0.15,0.05,0,0.05,0.1,0.05,0.1,0,0,0,0
長庚大學,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0
元智大學,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0.142857143,0,0,0,0,0,0.142857143,0.142857143,0,0,0
開南大學,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0.285714286,0,0.142857143,0,0,0,0.142857143
