tar_attraction_list
"[0, ['銀河洞越嶺步道', '新店', '坪林']]"
"[1, ['平溪老街', '平溪車站', '菁桐老街']]"
"[2, ['大理國小']]"
"[3, ['馬德里休閒驛棧']]"
"[4, ['華山1914文化園區']]"
"[5, ['樂火戰士']]"
"[6, []]"
"[10, ['101的景觀台']]"
"[11, ['九份金礦博物館', '九份老街']]"
"[14, []]"
"[15, ['新北市歡樂耶誕城']]"
"[16, ['十份瀑布', '十份老街']]"
"[18, ['美堤河濱公園', '地熱谷', '北投圖書館', '溫泉博物館', '情人橋', '基隆廟口夜市']]"
"[21, ['老地方觀景平台']]"
"[27, ['大溝溪親水公園']]"
"[28, []]"
"[30, ['大溝溪親水公園', '鯉魚山親山步道', '白石湖吊橋', '圓爵寺步道', '圓爵瀑布']]"
"[32, ['一米特創藝美食館']]"
"[33, ['宜蘭火車站', '幾米廣場', '飛天列車', '冬山火車站', '丟丟噹森林']]"
"[37, ['樂去。玩的瘋', '斑比山丘', '頭城運動公園', '瘋狂夢想藝術園區', '文心蘭金黃隧道', '冬山稻間美徑', '武淵水火同源', '一米特創藝美食館', '本事農莊', '宜蘭縣壯圍親子館', '綺麗親子夢想館', '宜農牧場', '甲鳥園', '蘭陽溪口親子餐廳', '幸福時光親子餐廳']]"
"[38, ['邱比準', '樂去。玩的瘋']]"
"[39, ['奇麗灣珍奶文化館']]"
"[40, ['童玩節']]"
"[41, ['金岳瀑布', '鹿皮溪', '南澳建華冰店']]"
"[42, ['武荖坑風景區']]"
"[43, ['蘇澳冷泉']]"
"[46, ['宜蘭傳統藝術中心', '羅東運動公園', '基隆廟口']]"
"[47, ['蘇澳冷泉']]"
"[48, ['邱比準', '蘇澳冷泉', '斑比山丘', '文心蘭金黃隧道', '頭城運動公園', '一米特創藝美食館', '本事農莊', '金車生技水產養殖研發中心', '綺麗親子夢想館', '大進國小', '清水地熱公園', '宜農牧場', '羅東中山公園']]"
"[51, ['北星寶宮步道', '永春崗步道', '一線天步道', '臺北101大樓', '巨石公園步道']]"
"[52, ['松山菸廠']]"
"[53, ['140高地公園']]"
